Datetime,Open,High,Low,Close,Volume
2024-02-13 09:30:00,185.77,186.21,185.76,185.87,1011315
2024-02-13 09:31:00,185.91,185.94,185.1,185.18,312157
2024-02-13 09:32:00,185.185,185.26,184.94,185.06,331517
2024-02-13 09:33:00,185.04,185.07,184.63,184.725,350756
2024-02-13 09:34:00,184.71,184.84,184.63,184.68,176242
2024-02-13 09:35:00,184.65,184.86,184.45,184.49,328010
2024-02-13 09:36:00,184.49,184.63,184.27,184.59,261061
2024-02-13 09:37:00,184.61,184.84,184.5304,184.73,242073
2024-02-13 09:38:00,184.74,184.83,184.52,184.54,157755
2024-02-13 09:39:00,184.55,184.62,184.34,184.4,225326
2024-02-13 09:40:00,184.42,184.493,184.345,184.37,149716
2024-02-13 09:41:00,184.3668,184.395,184.18,184.26,238589
2024-02-13 09:42:00,184.25,184.72,184.2,184.6903,242443
2024-02-13 09:43:00,184.695,184.94,184.66,184.851,167277
2024-02-13 09:44:00,184.86,184.97,184.8301,184.905,150664
2024-02-13 09:45:00,184.9,184.98,184.76,184.9,151720
2024-02-13 09:46:00,184.89,184.98,184.785,184.85,94228
2024-02-13 09:47:00,184.845,184.8768,184.77,184.864,79364
2024-02-13 09:48:00,184.87,185.135,184.86,185.09,158959
2024-02-13 09:49:00,185.1,185.13,184.96,184.97,119688
2024-02-13 09:50:00,184.9699,185.005,184.9,184.91,95999
2024-02-13 09:51:00,184.92,184.93,184.68,184.74,118317
2024-02-13 09:52:00,184.73,184.775,184.6502,184.73,89673
2024-02-13 09:53:00,184.7299,184.99,184.7,184.955,97023
2024-02-13 09:54:00,184.986,185.24,184.986,185.23,135106
2024-02-13 09:55:00,185.24,185.24,185.07,185.114,137800
2024-02-13 09:56:00,185.1199,185.4,185.11,185.395,116687
2024-02-13 09:57:00,185.3901,185.4,185.28,185.365,98358
2024-02-13 09:58:00,185.365,185.365,185.14,185.15,90903
2024-02-13 09:59:00,185.1689,185.18,185.03,185.16,123491
2024-02-13 10:00:00,185.15,185.24,184.98,185.0,171323
2024-02-13 10:01:00,185.005,185.15,185.0,185.04,79560
2024-02-13 10:02:00,185.04,185.04,184.92,184.99,82145
2024-02-13 10:03:00,184.994,185.03,184.83,184.888,116511
2024-02-13 10:04:00,184.8909,184.9089,184.8,184.86,104488
2024-02-13 10:05:00,184.845,184.929,184.76,184.845,94947
2024-02-13 10:06:00,184.84,184.93,184.83,184.912,78146
2024-02-13 10:07:00,184.91,185.08,184.89,185.009,92810
2024-02-13 10:08:00,185.01,185.045,184.96,184.9907,79830
2024-02-13 10:09:00,184.995,185.02,184.894,184.945,73848
2024-02-13 10:10:00,184.935,185.116,184.895,185.04,88927
2024-02-13 10:11:00,185.04,185.07,184.93,185.0401,82336
2024-02-13 10:12:00,185.05,185.12,185.005,185.005,64859
2024-02-13 10:13:00,185.0,185.0362,184.88,184.94,66476
2024-02-13 10:14:00,184.945,185.05,184.93,184.985,66791
2024-02-13 10:15:00,184.985,185.0,184.85,184.97,86493
2024-02-13 10:16:00,184.97,185.1293,184.915,184.97,172729
2024-02-13 10:17:00,184.97,184.97,184.76,184.855,135781
2024-02-13 10:18:00,184.8489,185.015,184.8489,184.8918,82505
2024-02-13 10:19:00,184.9,185.03,184.82,185.0101,80503
2024-02-13 10:20:00,185.01,185.22,185.008,185.185,101032
2024-02-13 10:21:00,185.18,185.3116,185.1,185.31,87020
2024-02-13 10:22:00,185.3011,185.35,185.21,185.24,90749
2024-02-13 10:23:00,185.23,185.36,185.19,185.28,101695
2024-02-13 10:24:00,185.28,185.44,185.27,185.3,102797
